"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Delete a user test","chromium","2026-07-12","skipped","2026-07-12","","api/users.api.spec.ts","",""
"","9154","Login with the valid credentials","chromium","2026-07-12","passed","2026-07-12","","loginpagefixure.spec.ts","",""
"","8702","@smoke Login with the valid credentials","chromium","2026-07-12","passed","2026-07-12","","loginpage.spec.ts","",""
"","8866","Login with the valid credentials","chromium","2026-07-12","passed","2026-07-12","","loginpagebysecondway.spec.ts","",""
"","8881","Forgotten Password link is exist Or not:","chromium","2026-07-12","passed","2026-07-12","","loginpagebysecondway.spec.ts","",""
"","1","Update a user test","chromium","2026-07-12","skipped","2026-07-12","","api/users.api.spec.ts","",""
"","3","get user test","chromium","2026-07-12","skipped","2026-07-12","","api/users.api.spec.ts","",""
"","9779","Login to app with wrong credential with data driven approach test","chromium","2026-07-12","passed","2026-07-12","","loginpagefixure.spec.ts","",""
"","8876","login page title test","chromium","2026-07-12","passed","2026-07-12","","loginpagebysecondway.spec.ts","",""
"","8944","@sanity Forgotten Password link is exist Or not:","chromium","2026-07-12","passed","2026-07-12","","loginpage.spec.ts","",""
"","8620","login page title test","chromium","2026-07-12","passed","2026-07-12","","loginpagefixure.spec.ts","",""
"","2","create a user test","chromium","2026-07-12","skipped","2026-07-12","","api/users.api.spec.ts","",""
"","8953","login page title test","chromium","2026-07-12","passed","2026-07-12","","loginpage.spec.ts","",""
"","8813","Forgotten Password link is exist Or not:","chromium","2026-07-12","passed","2026-07-12","","loginpagefixure.spec.ts","",""
